Play #,Column1,ODK,Dn,Dist,Yard ln,Hash,Off form,Off str,Backfield,Off play,Play type,Play dir,Result,gn/ls,Eff,Def Front,Def Strengh,Blitz,Coverage,Qtr
48,0,K,,,-40,R,,,,,KO,,Return,,,,,,,2
71,0,K,4,23,-40,M,,,,,KO Rec,,Return,,,,,,,3
75,0,K,4,1,-28,R,,,,,Punt,,Fair Catch,,,,,,,3
85,0,K,4,7,18,R,,,,,FG,,Timeout,0,,,,,,3
86,0,K,4,7,18,R,,,,,FG,,Good,,,,,,,3
87,0,K,,,-40,M,,,,,KO,,Return,,,,,,,3
99,0,K,1,,3,M,,,,,Extra Pt. Block,,Good,,,,,,,3
100,0,K,,,-40,M,,,,,KO Rec,,Return,,,,,,,3
133,0,K,1,10,19,L,,,,,FG,,No Good,,,,,,,4
136,0,K,,,3,M,,,,,Extra Pt. Block,,Good,,,,,,,4
140,0,K,,,3,M,,,,,Extra Pt.,,Good,,,,,,,4
143,0,K,,,3,M,,,,,Extra Pt.,,Good,,,,,,,4
148,0,K,1,,3,M,,,,,2 Pt. Defend,R,Good,,,,,,,4
9,0,D,2,9,43,M,TRIPLE,L,,,Pass,R,Penalty,15,N,STACK,,,4,1
67,0,D,1,10,-38,L,TRIPLE,R,,SEATTLE (TWIST),Pass,R,Penalty,15,N,OVER,,,4,2
68,0,D,1,10,47,L,TRIPLE,R,,KEY 4 (EAST),Pass,L,Complete,0,Y,OVER,,,4,2
69,0,D,2,10,47,L,TRIPLE,R,,,Pass,L,Sack,-9,Y,OVER,,,4,2
147,0,D,2,10,12,R,TRIPLE,L,,BROWN ALL (SEATTLE),Pass,R,"Complete, TD",12,N,STACK,,,4,4
35,0,D,3,14,14,R,TRIPLE,L,,ZEBRA,Run,R,Rush,0,Y,UNDER,,,4,1
55,0,D,1,10,-28,L,TRIPLE,R,,,Pass,R,Incomplete,0,Y,OVER,,,4,2
63,0,D,2,11,21,L,TRIPLE,R,,,Run,L,Rush,2,Y,OVER,,,3 SKY,2
128,0,D,1,10,-19,R,TRIPLE,L,,,Run,L,Rush,-1,Y,OVER,,,4,4
146,0,D,1,10,23,R,TRIPLE,L,,,Run,R,Rush,2,Y,OVER,,,3 SKY,4
147,0,D,2,8,21,R,TRIPLE,L,,,Run,R,Rush,-7,Y,OVER,,,3 ROLL,4
148,0,D,3,15,28,R,TRIPLE,L,,,Pass,L,Complete,12,Y,STACK,,,4,4
149,0,D,4,3,16,M,TRIPLE,L,,,Run,R,"Rush, TD",16,N,OVER,,,4,4
162,0,D,1,10,25,M,TRIPLE,L,,,Run,R,Rush,-2,Y,STACK,,,3 ROLL,4
163,0,D,2,12,27,M,TRIPLE,L,,BLUE,Pass,R,Complete,4,Y,STACK,,,3 ROLL,4
164,0,D,3,8,23,R,TRIPLE BUNCH SQUEEZE,L,,ROCKET,Pass,L,Complete,12,N,STACK,,,3 ROLL,4
166,0,D,2,10,11,L,TRIPLE,L,,,Run,L,Rush,8,N,STACK,,,3 ROLL,4
167,0,D,3,2,3,L,TRIPLE,R,,,Run,L,"Rush, TD",3,N,BEAR,,,0 MAN,4
93,0,D,2,10,-36,R,TRAILER (13),L,,ZEBRA (WAVE),Run,R,Rush,41,N,UNDER,,,4,3
94,0,D,1,10,23,L,TRAILER (13),R,,ZEBRA (EAST) (WAVE),Run,L,Rush,2,Y,STACK,,,4,3
96,0,D,3,6,19,R,TRAILER (13),,,,,,Timeout,0,Y,,,,,3
116,0,D,1,10,47,R,TRAILER (13),L,,ZEBRA (WAVE),Pass,L,Complete,10,N,OVER,,,4,4
118,0,D,2,1,28,M,TRAILER (13),R,,ZEBRA (EAST) (WAVE),Pass,R,Incomplete,0,Y,STACK,,,3 ROLL,4
146,0,D,1,10,12,R,TRAILER (13),L,,,Pass,L,Incomplete,0,Y,STACK,,,,4
9,0,D,1,10,-42,L,TRAILER,L,,OTTER,Run,R,Penalty,-10,Y,OVER,,,3 ROLL,1
14,0,D,1,10,5,L,TRAILER,R,,OTTER (L),Run,R,Rush,4,N,STACK,,,0 MAN,1
32,0,D,1,5,5,L,TRAILER,R,,,,,Penalty,-5,Y,OVER,,,3 SKY,1
33,0,D,1,10,10,L,TRAILER,L,,,Run,L,Rush,-4,Y,OVER,,,3 ROLL,1
65,0,D,3,10,10,L,TRAILER,L,,,Run,L,Penalty,-9,Y,BEAR,,,1 MAN,2
66,0,D,3,19,19,L,TRAILER,L,,OTTER (L),Run,R,Rush,1,Y,UNDER,,,3 SKY,2
131,0,D,1,10,48,R,TRAILER,R,,,Run,L,Rush,2,Y,STACK,,,3 ROLL,4
133,0,D,3,8,46,L,TRAILER,L,,,Pass,L,Complete,0,Y,STACK,,,4,4
4,0,D,3,8,-14,R,QUADS,L,,OTTER (EAST) (UGLY),Run,L,Rush,12,N,OVER,,,3 ROLL,1
11,0,D,1,6,6,L,QUADS BUNCH,,,OTTER (UGLY),Run,R,"Rush, TD",6,N,UNDER,,,,1
34,0,D,3,9,-21,R,QUADS,L,EMPTY,BROWN ALL,Pass,R,Complete,5,Y,OVER,,,1 MAN PLUG,2
49,0,D,1,10,33,R,QUADS BUNCH,,,OTTER (UGLY),Run,R,Rush,-1,Y,STACK,,,3 CLOUD B,2
50,0,D,2,11,34,R,QUADS,L,EMPTY,DOS BROWN ALL/SEATTLE,Pass,R,Incomplete,0,Y,OVER,,,1 MAN PLUG,2
65,0,D,2,10,-25,R,QUADS,L,EMPTY,SEATTLE,Pass,L,Sack,-6,Y,OVER,,,1 MAN PLUG,2
88,0,D,1,10,-25,R,QUADS,L,,OTTER (EAST (UGLY),Run,L,Rush,3,Y,OVER,,,3 ROLL,3
89,0,D,2,7,-28,L,QUADS BUNCH,,,OTTER (EAST) (UGLY),Run,L,Rush,2,Y,UNDER,,,3 CLOUD B,3
90,0,D,3,5,-30,L,QUADS BUNCH,R,EMPTY,,Pass,R,Complete,1,Y,OVER,,,,3
92,0,D,1,10,-36,R,QUADS BUNCH,L,EMPTY,,Pass,L,Incomplete,0,Y,OVER,,,3 ROLL,3
113,0,D,1,5,-33,R,QUADS TANK,L,,OTTER (EAST) (UGLY),Run,L,Rush,-4,Y,OVER,,,4,4
117,0,D,1,10,37,M,QUADS,L,EMPTY,,Pass,L,Complete,9,N,OVER,,,3 ROLL,4
7,0,D,2,10,-36,R,EMPTY BUNCH,L,EMPTY,JAB,Pass,R,Complete,20,N,OVER,,,4,1
8,0,D,1,10,44,R,EMPTY,R,EMPTY,,Pass,L,Scramble,1,Y,UNDER,,,4,1
52,0,D,2,11,34,R,EMPTY BUNCH,R,EMPTY,JAB,Pass,R,Complete,7,N,OVER,,,3 ROLL,2
54,0,D,4,4,27,R,EMPTY TANK,R,EMPTY,,Run,R,Rush,3,Y,OVER,,,3 ROLL,2
64,0,D,1,10,-25,R,EMPTY,L,EMPTY,BROWN ALL,Pass,R,Incomplete,0,Y,OVER,,,4,2
66,0,D,3,16,-19,M,EMPTY BUNCH,R,EMPTY,KEY 3 (EAST),Pass,L,Complete,19,N,OVER,,,4,2
95,0,D,2,8,21,L,EMPTY TANK,R,EMPTY,OTTER (L),Run,R,Rush,2,Y,STACK,,,4,3
97,0,D,3,6,19,R,EMPTY DODGE,,EMPTY,BROWN ALL,Pass,L,Incomplete,0,Y,OVER,,,,3
98,0,D,4,6,19,R,EMPTY BUNCH,R,EMPTY,,Pass,R,"Complete, TD",19,N,UNDER,,,4,3
114,0,D,2,9,-29,M,EMPTY DODGE,,EMPTY,BROWN ALL,Pass,L,Complete,8,N,OVER,,,4,4
120,0,D,4,5,32,M,EMPTY DODGE,,EMPTY,BROWN ALL,Pass,L,Incomplete,0,Y,STACK,,,4,4
135,0,D,1,10,25,M,EMPTY,R,EMPTY,SILVER (ROCKET),Pass,L,"Complete, TD",25,N,OVER,,,4,4
145,0,D,2,3,18,R,EMPTY BUNCH,L,EMPTY,JAB,Pass,R,Complete,6,N,STACK,,,3 ROLL,4
10,0,D,1,10,28,M,DOUBLES,L,,,Run,L,Rush,22,N,OVER,,,3 SKY,1
32,0,D,1,10,-20,M,DOUBLES,R,,,Run,R,Rush,3,Y,OVER,,,3 ROLL,2
10,0,D,1,20,-32,M,DOUBLES,R,,,Run,R,Rush,4,Y,OVER,,,3 ROLL,1
64,0,D,3,9,19,L,DOUBLES,R,,JAB (VEGAS),Pass,L,Penalty,9,N,STACK,,,3 ROLL,2
87,0,D,1,10,-20,M,DOUBLES,R,,COUGAR,Run,R,Rush,1,Y,UNDER,,,3 CLOUD F,3
129,0,D,2,11,-18,M,DOUBLES,L,,,Pass,L,Incomplete,0,Y,OVER,,,3 SKY,4
132,0,D,2,8,46,M,DOUBLES,L,,,Run,L,Rush,0,Y,UNDER,,,3 SKY,4
6,0,D,1,10,-36,R,DODGE,R,,SEATTLE,Pass,L,Incomplete,0,Y,UNDER,,,4,1
33,0,D,2,7,-23,R,DODGE,L,,,Run,R,Rush,-2,Y,OVER,,,4,2
53,0,D,3,4,27,R,DODGE,L,,,Pass,R,Incomplete,0,Y,OVER,,,4,2
76,0,D,1,10,-36,L,DODGE,R,,,Pass,L,Interception,,Y,OVER,,,,3
2,0,D,1,10,-12,M,DAK,BAL,,BROWN ALL,Run,R,Rush,-5,Y,OVER,,,4,1
3,0,D,2,15,-7,M,DAK,BAL,ACE,OTTER (EAST),Run,R,Rush,7,Y,OVER,,,3 ROLL,1
